"Knock, Knock and Others",,"Ivan","Turgenev","8knck10.txt","7knck10h.htm","Dec",2004,
"Koran/Q'uran, The",,,"Mohammad","koran12a.txt",,"Sep",2002,
"Krasavitse, Kotoraya Niuhala Tabak",,"Alexander","Puskin","kknta10.txt","kknta10h.htm","Mar",2004,"Russian"
"La Divina Commedia di Dante",,,"Dante","0ddc809a.txt",,"Aug",1997,"Italian"
"La Divina Commedia di Dante (H.F. Cary)",,,"Dante","0ddcc10.txt",,"Aug",1997,
"La Divina Commedia di Dante (Longfellow)",,,"Dante","0ddcl10.txt",,"Aug",1997,
"Lady of the Lake, The",,"Walter","Scott","llake10.txt",,"Jan",2002,
"L'assommoir",,"Emile","Zola","8lssm10u.txt",,"Sep",2004,"French"
"Last Chronicle of Barset, The","Ecclesiastical Novel #4","Anthony","Trollope","lacob11.txt",,"Jan",2002,
"Last of the Mohicans, The",,"James","Cooper","mohic10.txt",,"Jul",1997,
"Legend of Sleepy Hollow, The",,"Washington","Irving","sleep11.txt","sleep11h.htm","Oct",1992,
"Legends, Traditions, and Laws of the Iroquois",,"Elias ","Johnson","lgtrd10.txt",,"Apr",2005,
"Legends of Babylon and Egypt",,"Leonard ","King","beheb10.txt",,"Jan",2000,
"Legends of Saint Patrick, The",,"Aubrey","De Vere","lgsp10.txt","lgsp10h.htm","Dec",2004,
"Legends of Saint Patrick, The",,"Aubrey","De Vere","lgsp10.txt","lgsp10h.htm","Dec",2004,
"Legends of the Jews","Vol 1","Louis","Ginzberg","1lotj10.txt",,"Oct",1998,
"Legends of the Jews","Vol 2","Louis","Ginzberg","2lotj10.txt",,"Oct",1998,
"Legends of the Jews","Vol 3","Louis","Ginzberg","3lotj10.txt",,"Oct",2001,
"Legends of the Jews","Vol 4","Louis","Ginzberg","4lotj10.txt",,"Oct",2001,
"Legends of Vancouver ",,"E. Pauline","Johnson","legva12.txt",,"Oct",2002,
"Leonardo da Vinci",,"Maurice W. ","Brockwell","8ldvn10.txt","8ldvn10h.htm","Mar",2005,
"Les Miserables",,"Victor","Hugo","lesms10.txt",,"May",1994,
"Letters on  Sweden, Norway and Denmark",,"Mary","Wollenstonecraft","ltswd10.txt",,"Nov",2002,
"Life of Abraham Lincoln, The",,"Henry","Ketcham","lflcn10.txt",,"Nov",2004,
"Life of Chopin",,"Franz","Liszt","lfcpn10.txt",,"Aug",2003,
"Life of George Washington, The","Vol 1","W.","Irving","8wsh110.txt",,"Dec",2004,
"Life of Luther",,"Julius","Koestlin","8luth10.txt",,"Apr",2005,
"Life of St. Teresa of Jesus",,,"Teresa of Avila","8trsa10.txt","8trsa10h.htm","May",2005,
"Literary Blunders",,"Henry","Wheatley","litbl10.txt",,"Dec",1995,
"Little Women",,"Louisa May","Alcott","lwmen12.txt",,"May",1996,
"Lives of Twelve Caesars, The",,,"Suetonius","st15w10.txt",,"Sep ",2004,
"Loss of the SS Titanic, The",,"Lawrence","Beesley","lsttn10.txt",,"Oct",2004,
"Lost on the Moon",,"Roy","Rockwood","8moon10.txt",,"Feb",2005,
"Lover's Complaint, A",,"William","Shakespeare","2ws4410.txt",,"Nov",1998,
"Love's Labour's Lost",,"William","Shakespeare","2ws1210.txt",,"Nov",1998,
"Macbeth",,"William","Shakespeare","2ws3410.txt",,"Nov",1998,
"Macbeth",,"William","Shakespeare","8gs3410.txt",,"Nov",2004,"German"
"Madame Bovary",,"Gustave","Flaubert","mbova10.txt","mbova10h.htm","Nov",2000,
"Magic of Oz, The","Oz Book 3","L. Frank","Baum","magoz10.txt","magoz10h.htm","Feb",1996,
"Major Barbara",,"George B.","Shaw","mjbrb10.txt",,"Feb",2003,
"Major Barbara, Preface to",,"George B.","Shaw","pmbrb10.txt",,"Feb",2003,
"Malayan Literature",,,"Various","8mala10.txt",,"Dec",2004,
"Man in the Iron Mask [novel]",,"Alexander","Dumas","ironm11.txt","ironm11h.htm","Aug",2001,
"Man Who Knew Too Much, The",,"G.K.","Chesterton","mwktm10a.txt",,"Apr",1999,
"Marmion",,"Walter","Scott","marmn10a.txt","marmn10ah.htm","Feb",2004,
"Martin Hyde the Duke's Messenger",,"John","Masefield","mhyde10.txt",,"Apr",1998,
"Marvelous Land of Oz, The","Oz Book 1","L. Frank","Baum","ozland10.txt","ozland10h.htm","Feb",1993,
"Massacre at Paris, The",,"Christopher","Marlowe","msprs10.txt",,"Oct",1998,
"Mayor of Casterbridge, The",,"Thomas","Hardy","mayrc10.txt",,"Jun",1994,
"Measure for Measure",,"William","Shakespeare","2ws3110.txt",,"Nov",1998,
"Mediaeval Lore",,"Robert","Steele","mdvll10.txt",,"Sep",2004,
"Memoirs of Napoleon, The",,,"Bourrienne","nb17v11.txt","nb17v11h.html","Dec",2002,
"Memoirs of Sherlock Holmes, The",,"Arthur C.","Doyle","memho11.txt",,"Mar",1997,
"Merchant of Venice, The",,"William","Shakespeare","2ws1810.txt",,"Nov",1998,
"Merry Wives of Windsor, The",,"William","Shakespeare","2ws2010.txt",,"Nov",1998,
"Messer Marco Polo",,"Brian Oswald","Donn-Byrne","mpolo10.txt",,"Feb",2000,
"Middlemarch",,"George","Elliot","mdmar10.txt",,"Jul",1994,
"Midsummer Night's Dream, A",,"William","Shakespeare","2ws1710.txt",,"Nov",1998,
"Mill in the Floss, The",,"George","Eliot","mlfls10.txt","mlfls10h.htm","Oct",2004,
"Moby Dick",,"Herman","Melville","moby11.txt",,"Jul",2001,
"Modern Utopia, A",,"H.G.","Wells","mdntp10.txt","mdntp10h.htm","Sep",2004,
"Modest Proposal, A",,"Jonathan","Swift","mdprp10.txt",,"Oct",1997,
"Moll Flanders",,"Daniel","Defoe","mollf10.txt",,"Dec",1995,
"Moorish Literature",,,"Various","8moor10.txt",,"Apr",2005,
"Mort d'Arthur, Le","Vol 1","Thomas","Malory","1mart10.txt",,"Mar",1998,
"Mort d'Arthur, Le","Vol 2","Thomas","Malory","2mart10.txt",,"Mar",1998,
"Mortuary Customs of North American Indians",,"C.H.","Yarrow","mtrcs10.txt",,"Sep ",2004,
"Much Ado About Nothing",,"William","Shakespeare","2ws2210.txt",,"Nov",1998,
"Mutual Aid",,,"Kropotkin","mtlad10.txt",,"Aug",2003,
"My Antonia",,"Willa","Cather","myant11.txt",,"Apr",1995,
"Myne eerste vlerken",,"Eugeen","Stroobant","7mynr10.txt",,"Nov",2004,"Dutch"
"Mysterious Island, The",,"Jules","Verne","milnd11.txt",,"Apr",1998,
"Myth, Ritual, and Religion","Vol. 1","Andrew","Lang","1mrar10.txt",,"Sep",2001,
"Myths and Legends of Calif. and the Old Southwest",,"Katharine","Judson","mlcal10.txt",,"Feb",2001,
"Myths and Legends of Our Own Land",,"Charles","Skinner","cs10w10.txt",,"Oct",2004,
"Myths and Legends of the Sioux",,,"Various","sioux10.txt",,"Oct",1995,
"Napoleon Boneparte",,"John","Abbott  ","nplnb10.txt",,"Feb",2003,
"National Epics",,"Kate Milner","Rabb","8ntle10.txt",,"May",2005,
"Netherlands, The",,"John","Motley","jm00v10.txt",,"Jan",2004,
"Nibelungenlied, The",,,"Anonymous","nblng10.txt",,"Dec",1997,
"Nicholas Nickelby",,"Charles","Dickens","ncklb10.txt",,"Jul",1997,
"Njal's Saga",,,"Anonymous","njals10.txt",,"Jul",1996,
"Nonsense Novels",,"Stephen","Leacock","nsnvl10.txt",,"Nov ",2003,
"Notebooks of Leonardo DaVinci, The",,"Leonardo","DaVinci","8ldvc10.txt",,"Jan",2004,
"Notes From The Underground",,"Fyodor","Dostoyevsky","notun11.txt",,"Jul",1996,
"Number ""e"" [""Natural Log"" 1 million places]",,,"Anonymous","ee710.txt",,"May",1994,
"Occurrence At Owl Creek Bridge, An",,"Ambrose","Bierce","owlcr10.txt",,"Dec",1995,
"Odyssey, The (Butler)",,,"Homer","dyssy10.txt",,"Apr",1999,
"Off on a Comet",,"Jules ","Verne","comet10.txt",,"Jun",1998,
"Of Human Bondage",,"W. Somerset","Maugham","humbn10.txt",,"Oct",1995,
"Old Curiosity Shop, The",,"Charles","Dickens","curio10.txt",,"Oct",1996,
"Old Northwest, The",,"Frederic Austin ","Ogg","oldno10.txt",,"Jan",2002,
"Oliver Twist",,"Charles","Dickens","olivr10.txt",,"Dec",1996,
"One Divided by Pi to a Million Digits",,,"Anonymous","onepi10.txt",,"Dec",1996,
"On the Duty of Civil Disobedience",,"Henry David","Thoreau","civil11.txt","civil11h.htm","Jun",1993,
"On the Origin of Species",,"Charles","Darwin","otoos11.txt",,"May",1998,
"On War","Vol 1","Carl ","von Clausewitz","1onwr10.txt",,"Oct",1999,
"Original Narratives of Early American History",,,"Various","mohwk10.txt",,"Apr",2000,
"Orlando Furioso",,"Ludovico ","Ariosto","orfur10.txt",,"Aug",1996,
"Othello",,"William","Shakespeare","2ws3210.txt",,"Nov",1998,
"Outlines of English Literature",,"William J.","Long","8elit10.txt",,"Mar",2005,
"Over the Top",,"Arthur Guy","Empey","ovtop10.txt","ovtop10h.htm","Apr",2005,
"Pamela",,"Samuel","Richardson","pam1w10.txt",,"Jul",2004,
"Paradise Lost",,"John","Milton","plrabn12.txt",,"Feb",1992,
"Paradise Regained",,"John","Milton","rgain10.txt",,"Mar",1993,
"Passionate Pilgrim, The",,"William","Shakespeare","2ws4510.txt",,"Nov",1998,
"Pericles",,"William","Shakespeare","2ws3810.txt",,"Nov",1998,
"Peter Pan in Kensington Gardens",,"J.M.","Barrie","ppikg10.txt",,"May",1998,
"PG Memoirs of Three Civil War Generals, The",,,"Various","cwgen11.txt",,"Oct",2003,
"Phantom of the Opera, The",,"Gaston","Leroux","phant12.txt",,"Oct",1994,
"Pharsalia [The Civil War]",,,"Lucan","pcwar10.txt",,"Jul",1996,
"Philosophy of Misery, The",,"P. J. ","Proudhon","pmisr10.txt",,"Feb",1996,
"Philosophy of the Style, The",,"Herbert","Spencer","8phil10.txt",,"Jun",2004,
"Phoenix and the Turtle, The",,"William","Shakespeare","2ws2710.txt",,"Nov",1998,
"Pictures Every Child Should Know",,"Dolores","Bacon",,"8pics10h.htm","Nov",2004,
"Pilgrim's Progress",,"John","Bunyan","plgrm11.txt","plgrm11h.htm","May",1994,
"Pi to a Million Digits",,,"Anonymous","pimil10.txt",,"Feb",1993,
"Playboy of the Western World, The",,"J. M.","Synge","potww10.txt",,"Mar",1998,
"Plutarch's Lives",,,"Plutarch","plivs10.txt",,"Oct",1996,
"Poems of Emily Dickenson","Series 1","Emily","Dickenson","1mlyd10.txt",,"Jun",2001,
"Poems of Emily Dickenson","Series 2","Emily","Dickenson","2mlyd10.txt",,"Jun",2001,
"Poetics (On the Art of Poetry)",,,"Aristotle","poeti10.txt",,"Oct",2004,
"Popular History of Ireland, A",,"T.D.","McGee","phrlc10.txt",,"Oct",2004,
"Portrait of the Artist as a Young Man, A",,"James","Joyce","prtrt10.txt","prtrt10h.htm","Jul",2003,
"Possessed, The","Devils, The","Fyodor ","Dostoevsky",,"8devl10h.htm","May",2005,
"Preface to a Dictionary of the English Language",,"Samuel","Johnson","pengl10.txt",,"Apr",2004,
"Pride and Prejudice",,"Jane","Austen","pandp12.txt",,"Jun",1998,
"Prince, The",,"Niccolo","Machiavelli","tprnc10.txt",,"Mar",1998,
"Prince and the Pauper, The",,"Mark","Twain","prppr11.txt","prppr11h.html","Jul",1999,
"Princess and the Goblin, The",,"George","MacDonald","prgob10.txt",,"Nov",1996,
"Principles of Morals, The",,"David","Hume","nqpmr10.txt",,"Aug",2003,
"Principles of Scientific Management, The",,"F.W.","Taylor","pscmg10.txt",,"Sep",2004,
"Prisoner of Zenda, The",,"Anthony","Hope","zenda10.txt",,"Dec",1993,
"Private Life of Napoleon, The",,,"Constant","nc13v11.txt","nc13v11h.html","Dec",2002,
"Problems in American Democracy",,"Thames Ross ","Williamson","prblm10.txt",,"Sep",2004,
"Project Gutenberg Encyclopaedia","Vol. 1",,"Various","pge0112.txt",,"Jan",1995,
"Project Gutenberg's Book of English Verse",,,"Various","pgbev10.txt",,"May",1998,
"Project Trinity: Official Report",,,"US Government","prjtr10.txt",,"Jun",1996,
"Purgatory",,"Mary Anne Madden ","Sadlier","8purg10.txt",,"Apr",2005,
"Pygmalion",,"George B.","Shaw","pygml10.txt",,"Mar",2003,
"Radio Amateur's Hand Book, The",,"A. Frederick","Collins",,"thrdm10ah.htm","Nov",2004,
"Rape of Lucrece, The",,"William","Shakespeare","2ws0810.txt",,"Nov",1998,
"Reception of the Origin of Species, The",,"Thomas","Huxley","oroos10.txt",,"Feb",2000,
"Reconciliation of Races and Religions, The",,"Thomas","Cheyne","8recn10.txt",,"Apr",2005,
"Record of Buddhistic Kingdoms",,,"Fa-Hien","rbddh10.txt",,"Apr",2000,
"Red Badge of Courage, The",,"Stephen","Crane","badge10a.txt",,"May",1996,
"Rede zum Schuljahresabschluss",,"G. W. F","Hegel","8rdsl10.txt",,"Oct",2004,"German"
"Red Planet, The",,"William","Locke","rplan10.txt",,"Jul",2003,
"Reign of Tiberius, The (Gordon)",,,"Tacitus","8rtib10.txt",,"Apr",2005,
"Reina Valera New Testament of the Bible 1909",,,"Various","8va0910.txt",,"Jun",2004,"Spanish"
"Reincarnation",,"Swami","Abhedananda","8rinc10.txt","8rinc10h.htm","Feb",2005,
"Religion of Babylonia and Assyria, The",,,"Pinches","8rbaa10.txt",,"Feb",2000,
"Religion of the Samurai, The",,"Kaiten","Nukariya","samur10.txt",,"Feb",2004,
"Religions of Ancient China",,"Herbet A.","Giles","rlchn10.txt",,"Sep",2000,
"Renascence of Hebrew Literature, The (1743-1885)",,"Nahum ","Slouschz","8rheb10.txt",,"Feb",2005,
"Republic, The",,,"Plato","repub13.txt",,"Jul",1994,
"Resurrection",,"Leo ","Tolstoi","resur10.txt",,"Oct",1999,
"Return of Sherlock Holmes, The",,"Arthur C.","Doyle","rholm10.txt",,"Feb",1994,
"Return of Tarzan, The","Tarzan #2","Edgar Rice","Burroughs","tarz210.txt",,"Aug",1993,
"Return of the Native, The",,"Thomas","Hardy","nativ10.txt",,"Apr",1994,
"Rights of Man, The",,"Thomas","Paine","twtp210.txt",,"Feb",2003,
"Rime of the Ancient Mariner, The",,,"Coleridge","rime10.txt",,"Jul",1994,
"Road to Oz, The","Oz Book 5","L. Frank","Baum","rd2oz10.txt","rd2oz10h.htm","Apr",1996,
"Robin Hood",,"J. Walker","McSpadden","1rbnh10.txt",,"Feb",1997,
"Rob Roy",,"Walter","Scott","rob3w10.txt","rob3w10h.html","Dec",2004,
"Roget's Thesaurus",,,"Roget","roget15a.txt",,"Dec",1991,
"Romeo and Juliet",,"William","Shakespeare","2ws1610.txt",,"Nov",1998,
"Rosary, The",,"Florence L.","Barclay","rosry11.txt",,"Jan",2003,
"Russia in 1919",,"Arthur","Ransome","19rus10.txt",,"May",1998,
"Satyricon of Petronius Arbiter, The",,"Petronius","Arbiter","pas8w10.txt","pas8w10h.html","Mar",2004,
"Scarlet Letter, The",,"Nathaniel","Hawthorne","scrlt12.txt",,"Jun",1992,
"Scarlet Pimpernel, The",,"Emmuska","Orczy, Baroness","scarp10.txt",,"Mar",1993,
"Science & Education",,"Thomas","Huxley","8sced10.txt","8sced10h.htm","Dec",2004,
"Secret Adversary, The",,"Agatha","Christie","secad10.txt",,"Jan",1998,
"Secret Garden, The",,"Frances","Burnett","gardn11.txt",,"Mar",1994,
"Sense and Sensibility",,"Jane","Austen","sense11.txt",,"Sep",1994,
"Seven Icelandic Short Stories",,,"Various","svncl10.txt",,"May",2004,
"Shakspere And Montaigne",,"Jacob ","Feis ","8shkm10.txt",,"May",2005,
"She",,"H. Rider","Haggard","shrhe10.txt",,"Apr",2002,
"She Stoops to Conquer",,"Oliver","Goldsmith","sstcq10.txt",,"Dec",1995,
"Shock & Awe",,,"Ullman & Wade","skawe10.txt","skawe10h.htm","Jan",2005,
"Short History of Wales",,"Owen","Edwards","hstwl10.txt",,"Jun",2002,
"Siddhartha",,"Herman","Hesse","siddh10.txt",,"Feb",2001,
"Sign of Four, The",,"Arthur C.","Doyle","sign410.txt",,"Mar",2000,
"Simple Italian Cookery",,"Antonia","Isola","smtlc10.txt",,"Aug",2004,
"Sinking of the Titanic",,"Logal","Marhsall","ttnic10.txt",,"Jan",1997,
"Sir John Oldcastle","Apocryphal","William","Shakespeare","1ws5110.txt",,"Jun",1999,
"Sir Thomas More","Apocryphal","William","Shakespeare","1ws4710.txt",,"Nov",1998,
"Sister Carrie",,"Theodore","Dreiser","scarr10.txt",,"May",1995,
"Song of Roland, The",,,"Anonymous","sorol10.txt",,"Jan",1996,
"Songs of Innocence and Experience",,"William","Blake","sinex10.txt",,"Oct",1999,
"Sonnets",,"William","Shakespeare","wssnt10.txt",,"Sep",1997,
"Soul of Man Under Socialism, The",,"Oscar","Wilde","slman10.txt",,"Aug",1997,
"Souls of Black Folk, The",,"W. E. B.","DuBois","soulb10.txt",,"Jan",1996,
"South Pole, The","Vol 1","Roald","Amundsen","8tspv111.txt",,"Sep ",2002,
"South Pole, The","Vol 2","Roald","Amundsen","8tspv211.txt",,"Sep ",2002,
"Spanish Tragedy, The",,"Thomas","Kyd","spatr10.txt",,"Jul",2004,
"Specimens of Greek Tragedy",,"Goldwin","Smith","8grtr10.txt",,"Dec",2004,
"Speeches of the Honorable Jefferson Davis",,"Jefferson","Davis","sphjd10.txt","sphjd10h.htm","Mar",2004,
"Spoon River Anthology",,"Edgar Lee","Masters","sprvr11.txt",,"Apr",1998,
"Story of the Pony Express, The",,"Glenn D. ","Bradley","ponye10.txt",,"Nov",2003,
"Story of the Volsungs, The",,,"Anonymous","vlsng10.txt",,"Dec",1997,
"Study in Scarlet, A",,"Arthur C.","Doyle","study10.txt",,"Apr",1995,
"Sunshine Sketches of a Little Town",,"Stephen","Leacock","ssklt10.txt",,"Nov",2002,
"Swann's Way",,"Marcel","Proust","8swnn10.txt",,"Dec",2004,
"Swoop, The",,"P.G.","Wodehouse","swoop10.txt",,"Dec",2004,
"Tacitus on Germany (Gordon)",,,"Tacitus","tctgr10.txt",,"Dec",2001,
"Tale of Two Cities, A",,"Charles","Dickens","2city12.txt",,"Jan",1994,
"Tales from Shakespeare",,"Charles and Mary","Lamb","tshak10.txt",,"Jun",1996,
"Tales from the Arabic","Vols 1-3","John","Payne","tftaa10.txt",,"Mar",2004,
"Tamburlaine the Great, Part 1",,"Christopher","Marlowe","tmbn110.txt",,"Nov",1997,
"Tamburlaine the Great, Part 2",,"Christopher","Marlowe","tmbn210.txt",,"Jan",1999,
"Taming of the Shrew, The",,"William","Shakespeare","2ws1010.txt",,"Nov",1998,
"Tarzan of the Apes","Tarzan #1","Edgar Rice","Burroughs","tarzn10.txt",,"Aug",1993,
"Tempest, The",,"William","Shakespeare","2ws4110.txt",,"Nov",1998,
"Ten Years Later",,"Alexander","Dumas","2musk10.txt",,"Mar",1998,
"Tess of the d'Urbervilles",,"Thomas","Hardy","tess10.txt",,"Feb",1994,
"Theory of the Leisure Class, The",,"Thorstein","Veblen","totlc10.txt",,"Mar",1997,
"The Prince (Marriott)",,"Nicolo","Machiavelli","tprnc10.txt",,"Mar",1998,
"Thoughts of Marcus Aurelius, The",,"Marcus","Aurelius","tmrcr10.txt",,"Nov",2004,
"Three Musketeers, The",,"Alexander","Dumas","1musk12.txt",,"Mar",1998,
"Through Russia",,"Maxin","Gorky","truss10.txt",,"Aug",2000,
"Through the Looking Glass",,"Lewis","Carroll","lglass18.txt","lglass18h.htm","Feb",1991,
"Thus Spake Zarathustra",,"Friedrich","Nietzsche","spzar10.txt",,"Dec",1999,
"Time Machine, The",,"H.G.","Wells","timem11.txt",,"Jul",1992,
"Timon of Athens",,"William","Shakespeare","2ws3710.txt",,"Nov",1998,
"Toby Tyler",,"James","Otis","tbyty10.txt","tbyty10h.htm","Feb",2005,
"Tragedy of Titus Andronicus, The",,"William","Shakespeare","2ws0910.txt",,"Nov",1998,
"Trail of the Sword",,"G.","Parker","gp37w10.txt",,"Aug",2004,
"Treasure Island",,"Robert","Stevenson","treas11.txt",,"Apr",1994,
"Treatise on Government, A",,,"Aristotle","tgovt10.txt",,"Oct",2004,
"Tristram Shandy",,"Laurence","Sterne","shndy10.txt",,"Oct",1997,
"Troilus and Cressida",,"William","Shakespeare","2ws2910.txt",,"Nov",1998,
"Troilus and Crisyde",,"Geoffrey","Chaucer","troic10.txt",,"May",1995,
"Turn of the Screw, The",,"Henry","James","tturn10.txt",,"Feb",1995,
"Twelfth Night",,"William","Shakespeare","2ws2810.txt",,"Nov",1998,
"Twenty Years After",,"Alexander","Dumas","3musk11.txt",,"Mar",1998,
"Two Gentlemen of Verona",,"William","Shakespeare","2ws1110.txt",,"Nov",1998,
"Two Noble Kinsmen, The","Apocryphal","William","Shakespeare","2ws4310.txt",,"Nov",1998,
"Two Years Before the Mast",,"Richard Henry","Dana","2yb4m10.txt",,"Feb",2000,
"Ulysses",,"James","Joyce","ulyss12.txt","ulyss11h.htm","Jul",2003,
"Unbeaten Tracks in Japan",,"Isabella L. ","Bird","utrkj10.txt",,"May",2000,
"Uncle Remus/Songs/Sayings",,"Joel Chandler","Harris","remus10.txt",,"Sep",2000,
"Uncle Tom's Cabin",,"Harriet Beecher ","Stowe","utomc11.txt",,"Jan",1995,
"Uncle Vanya",,"Anton ","Chekov","vanya10.txt","vanya10h.htm","May",1999,
"United States' Bill of Rights",,,"US Government","bill11.txt","bill11h.htm","Dec",1972,
"United States' Constitution",,,"US Government","const11.txt","const11h.htm","Dec",1975,
"Utopia",,"Thomas","More","utopi10.txt",,"Apr",2000,
"Valley of Fear, The",,"Arthur C.","Doyle","vfear11a.txt",,"Feb",2003,
"Vampyre, A Tale (The)",,"John","Polidori","vampy10.txt","vampy10h.htm","Jul",2004,
"Vanity Fair",,"William","Thackeray","vfair12.txt","vfair12h.htm","Jul",1996,
"Venerable Mother Mary of the Incarnation",,,"Anonymous","8vnmm10.txt",,"Sep",2004,
"Venus and Adonis",,"William","Shakespeare","wsvns10.txt",,"Sep",1997,
"Vindication of the Rights of Women ",,"Mary","Wollstonecraft","vorow10.txt",,"Sep",2002,
"Visit to Iceland",,"Ida ","Pfeiffer","vstil10.txt",,"Sep ",1999,
"Voice of the City, The",,"O.","Henry","vccty10.txt",,"Sep",1998,
"Volpone; Or, The Fox",,"Ben","Jonson","vlpnr10.txt",,"May",2003,
"Voyage of the Beagle, The","1890 edition","Charles","Darwin","vbgle11a.txt","vbgle11h/index.html","Feb",2003,
"War and Peace",,"Leo","Tolstoi","wrnpc10.txt",,"May",2001,
"Warden, The","Ecclesiastical Novel #1","Anthony","Trollope","twrdn10.txt",,"Aug",1996,
"War of the Worlds, The",,"H.G.","Wells","warw12.txt",,"Jul",1992,
"Wars of the Jews, The",,"Flavius","Josephus","warje10.txt",,"Oct",2001,
"Way of All Flesh, The",,"Samuel ","Butler","wflsh10.txt",,"Feb",2000,
"Way of the World, The",,"William","Congreve","wwrld10.txt",,"Apr",1998,
"Wealth of Nations",,"Adam","Smith","wltnt10.txt",,"Jun",2002,
"Well at the End of the World, The",,"William","Morris","wwend10.txt",,"Oct",1994,
"What is Property?",,"P. J. ","Proudhon","pprty10.txt",,"Nov",1995,
"White Fang",,"Jack","London","wtfng10.txt",,"May",1997,
"Who Was Who: 5000 BC - 1914",,"Irwin L.","Gordon","wwasw10.txt",,"Jul",1997,
"Who Wrote the Bible?",,"Washington","Gladden","8wwrt10.txt","8wwrt10h.htm","Nov",2004,
"Why We Are At War",,"Woodrow","Wilson","whwar10.txt","whwar10h.htm","Nov",2004,
"Wind and the Willows, The",,"Kenneth","Grahame","wwill10.txt",,"Jul",1995,
"Winesburg, Ohio",,"Sherwood","Anderson","wnbrg11.txt",,"Feb",1996,
"Winter's Tale, The",,"William","Shakespeare","2ws4010.txt",,"Nov",1998,
"Woman's Life Work, A",,"Laura S.","Haviland","wlwrk10.txt",,"Jan",2005,
"Women in Love",,"D.H.","Lawrence","wmnlv10.txt",,"Jul",2003,
"Wonderful Wizard of Oz, The","Oz Book 2","L. Frank","Baum","wizoz10.txt","wizoz10h.htm","Feb",1993,
"Word Only a Word, A",,"G.","Ebers","g138v10.txt",,"Apr",2004,
"Works of Edgar Allen Poe, The","Vol 1","Edgar Allen","Poe","poe1v10.txt",,"Apr",2000,
"Works of Edgar Allen Poe, The","Vol 2","Edgar Allen","Poe","poe2v10.txt",,"Apr",2000,
"Works of Edgar Allen Poe, The","Vol 3","Edgar Allen","Poe","poe3v11.txt",,"Apr",2000,
"Works of Edgar Allen Poe, The","Vol 4","Edgar Allen","Poe","poe4v10.txt",,"Apr",2000,
"Works of Edgar Allen Poe, The","Vol 5","Edgar Allen","Poe","poe5v10.txt",,"Apr",2000,
"Works of Frederich Schiller in English, The",,"Frederich","Schiller","fs40w10.txt",,"Nov",2004,
"Works of Rudyard Kipling, The","Vol 1","Rudyard","Kipling","1vkip11.txt",,"Sep",2000,
"Works of Samuel Johnson","Vol 4","Samuel","Johnson","sjv0410.txt",,"Jul",1996,
"Writings of Abraham Lincoln, The","Vol 1","Abraham","Lincoln","1linc11.txt",,"Jun",2001,
"Writings of Abraham Lincoln, The","Vol 2","Abraham","Lincoln","2inc11.txt",,"Jun",2001,
"Writings of Abraham Lincoln, The","Vol 3","Abraham","Lincoln","3linc11.txt",,"Jun",2001,
"Writings of Abraham Lincoln, The","Vol 4","Abraham","Lincoln","4linc11.txt",,"Jun",2001,
"Writings of Abraham Lincoln, The","Vol 5","Abraham","Lincoln","5linc11.txt",,"Jun",2001,
"Writings of Abraham Lincoln, The","Vol 6","Abraham","Lincoln","6linc11.txt",,"Jun",2001,
"Writings of Abraham Lincoln, The","Vol 7","Abraham","Lincoln","7linc11.txt",,"Jun",2001,
"Wuthering Heights",,"Emily","Bronte","wuthr10.txt","wuthr10h.htm","Dec",1996,
"Yellow Wallpaper, The",,"Charlotte","Perkins","ylwlp10.txt",,"Nov",1999,
"Zambesi Expedition",,"David","Livingstone","zambs10.txt",,"Feb",2001,
Himalayan Journals (Complete),,J. D.,Hooker,hmjnc10.txt,,,,
"The Writings of Abraham Lincoln, v2",,Abraham,Lincoln,2linc11.txt,,,,
Handbook of Universal Literature From The Best and Latest Authorities,,Anne C.,Lynch Botta,8unlt10.txt,,,,
Warlord of Mars,,Edgar Rice,Burroughs,wmars13.txt,,,,
History of Astronomy,,George,Forbes,8hsrs10.txt,,,,
United States Presidents' Inaugural Speeches,From Washington to Clinton,,United States Presidents,uspis10.txt,,,,
Gods of Mars,,Edgar Rice,Burroughs,gmars12.txt,,,,
Time and the Gods,,Edward J. M. D.,Plunkett,tagod10.txt,,,,
The Iliad,,,Homer,iliad10a.txt,,,,
A Princess of Mars,,Edgar Rice,Burroughs,pmars13.txt,,,,
My Man Jeeves,,P. G.,Wodehouse,8jeev10.txt,,,,
Female Suffrage,,Susan,Fenimore Cooper,sffrg10.txt,,,,
The Man Who Would Be King,,Rudyard,Kipling,7king10.txt,,,,
